1,6027,12,8,8,8,16,16,0,0,0,0,0,0
2,6047,11,8,8,8,16,16,0,0,0,0,0,0
3,6067,10,8,8,8,16,16,0,0,0,0,0,0
4,6087,8,8,8,8,16,16,0,0,0,0,0,0
5,6106,6,0,0,0,8,8,0,0,0,0,0,0
7,6126,6,0,0,0,8,8,0,0,0,0,0,0
9,6146,4,0,0,0,8,8,0,0,0,0,0,0
10,6166,3,0,0,0,8,8,0,0,0,0,0,0
11,6186,2,0,0,0,8,8,0,0,0,0,0,0
12,6206,0,0,0,0,8,8,0,0,0,0,0,0
13,6226,31,24,24,24,0,0,0,0,0,0,0,0
15,6246,30,24,24,24,0,0,0,0,0,0,0,0
17,6266,28,24,24,24,0,0,0,0,0,0,0,0
18,6286,27,24,24,24,0,0,0,0,0,0,0,0
19,6306,26,24,24,24,0,0,0,0,0,0,0,0
20,6326,24,24,24,24,0,0,0,0,0,0,0,0
21,6346,23,16,16,16,24,24,0,0,0,0,0,0
23,6366,22,16,16,16,24,24,0,0,0,0,0,0
25,6386,20,16,16,16,24,24,0,0,0,0,0,0
26,6406,20,16,16,16,24,24,0,0,0,0,0,0
27,6426,18,16,16,16,24,24,0,0,0,0,0,0
28,6446,17,16,16,16,24,24,0,0,0,0,0,0
29,6466,16,16,16,16,24,24,0,0,0,0,0,0
30,6486,14,8,8,8,16,16,0,0,0,0,0,0
32,6506,13,8,8,8,16,16,0,0,0,0,0,0
34,6526,12,8,8,8,16,16,0,0,0,0,0,0
35,6546,10,8,8,8,16,16,0,0,0,0,0,0
36,6566,9,8,8,8,16,16,0,0,0,0,0,0
37,6586,8,8,8,8,16,16,0,0,0,0,0,0
38,6605,6,0,0,0,8,8,0,0,0,0,0,0
40,6625,5,0,0,0,8,8,0,0,0,0,0,0
41,6645,4,0,0,0,8,8,0,0,0,0,0,0
42,6665,2,0,0,0,8,8,0,0,0,0,0,0
43,6685,1,0,0,0,8,8,0,0,0,0,0,0
44,6705,0,0,0,0,8,8,0,0,0,0,0,0
45,6725,30,24,24,24,0,0,0,0,0,0,0,0
47,6745,29,24,24,24,0,0,0,0,0,0,0,0
48,6765,28,24,24,24,0,0,0,0,0,0,0,0
49,6785,26,24,24,24,0,0,0,0,0,0,0,0
50,6805,24,24,24,24,0,0,0,0,0,0,0,0
51,6825,23,16,16,16,24,24,0,0,0,0,0,0
53,6845,22,16,16,16,24,24,0,0,0,0,0,0
55,6865,21,16,16,16,24,24,0,0,0,0,0,0
56,6885,20,16,16,16,24,24,0,0,0,0,0,0
57,6905,18,16,16,16,24,24,0,0,0,0,0,0
58,6925,17,16,16,16,24,24,0,0,0,0,0,0
59,6945,16,16,16,16,24,24,0,0,0,0,0,0
60,6965,14,8,8,8,16,16,0,0,0,0,0,0
62,6985,13,8,8,8,16,16,0,0,0,0,0,0
64,7005,12,8,8,8,16,16,0,0,0,0,0,0
65,7025,10,8,8,8,16,16,0,0,0,0,0,0
66,7045,9,8,8,8,16,16,0,0,0,0,0,0
67,7065,8,8,8,8,16,16,0,0,0,0,0,0
68,7084,6,0,0,0,8,8,0,0,0,0,0,0
70,7104,4,0,0,0,8,8,0,0,0,0,0,0
71,7124,4,0,0,0,8,8,0,0,0,0,0,0
72,7144,2,0,0,0,8,8,0,0,0,0,0,0
73,7164,0,0,0,0,8,8,0,0,0,0,0,0
74,7184,31,24,24,24,0,0,0,0,0,0,0,0
76,7204,30,24,24,24,0,0,0,0,0,0,0,0
78,7224,28,24,24,24,0,0,0,0,0,0,0,0
79,7244,27,24,24,24,0,0,0,0,0,0,0,0
